rank,model,type,tox21_macro_auc_roc,tox21_macro_pr_auc,herg_auc_roc,herg_pr_auc,joint_auc_unweighted,joint_auc_beta3,source
1,dualhead_ensemble6_simple,dual_head_ensemble_new,0.7795280414563218,0.3915733444673366,0.8690966610843915,0.8702188535652684,0.8243123512703567,0.8467045061773741,models/dualhead_ensemble6/dualhead_metrics.json
2,dualhead_ensemble3_weighted,dual_head_ensemble_new,0.7833502672215608,0.40417704163400164,0.8676962084943836,0.867501850101287,0.8255232378579722,0.8466097231761779,models/dualhead_weighted_ensemble3/dualhead_metrics.json
3,dualhead_ensemble3_simple,dual_head_ensemble_new,0.7745213978477375,0.3832917947747512,0.8690966610843915,0.8702188535652684,0.8218090294660645,0.845452845275228,models/dualhead_ensemble3/dualhead_metrics.json
4,dualhead_ensemble5_simple,dual_head_ensemble_new,0.7733067742198348,0.37981880296961285,0.8690966610843915,0.8702188535652684,0.8212017176521131,0.8451491893682523,models/dualhead_ensemble5/dualhead_metrics.json
5,pretrained_2head_herg_molformer_model,dual_head_checkpoint,0.7387375235557556,0.3500795364379883,0.856485953178552,0.8603063257663635,0.7976117383671538,0.8270488457728529,models/pretrained_2head_herg_molformer_model/pretrained_2head_herg_tox21_metrics.json
6,pretrained_2head_herg_chemberta_model,dual_head_checkpoint,0.7595136165618896,0.3356567919254303,0.8372190870685646,0.8309936210458825,0.7983663518152271,0.8177927194418959,models/pretrained_2head_herg_chemberta_model/pretrained_2head_herg_tox21_metrics.json
7,pretrained_2head_herg_pubchem_model,dual_head_checkpoint,0.7311737537384033,0.326447993516922,0.8407182834531522,0.8442859957019773,0.7859460185957778,0.813332151024465,models/pretrained_2head_herg_pubchem_model/pretrained_2head_herg_tox21_metrics.json
8,pretrained_2head_herg_pubchem_quick,dual_head_checkpoint,0.7413460612297058,0.3318173587322235,0.8056704784262296,0.7982258358795904,0.7735082698279677,0.7895893741270987,models/pretrained_2head_herg_pubchem_quick/pretrained_2head_herg_tox21_metrics.json
9,pretrained_2head_herg_molformer_quick,dual_head_checkpoint,0.7272116541862488,0.31194525957107544,0.7903777351812156,0.7753681225798961,0.7587946946837322,0.7745862149324738,models/pretrained_2head_herg_molformer_quick/pretrained_2head_herg_tox21_metrics.json
10,pretrained_2head_herg_chemberta_quick,dual_head_checkpoint,0.7040586471557617,0.2767460346221924,0.7953293551559931,0.781218295629168,0.7496940011558775,0.7725116781559352,models/pretrained_2head_herg_chemberta_quick/pretrained_2head_herg_tox21_metrics.json
