task,n_valid,positive_rate,best_threshold,best_f1,reason
NR-AR,782,0.03964194373401535,0.47,0.6274509803921569,optimized_f1
NR-AR-LBD,782,0.0319693094629156,0.46,0.5,optimized_f1
NR-AhR,782,0.11125319693094629,0.34,0.4791666666666667,optimized_f1
NR-Aromatase,782,0.05754475703324808,0.22,0.2857142857142857,optimized_f1
NR-ER,782,0.0959079283887468,0.31,0.3120567375886525,optimized_f1
NR-ER-LBD,782,0.0370843989769821,0.37,0.4166666666666667,optimized_f1
NR-PPAR-gamma,782,0.04092071611253197,0.21,0.20930232558139536,optimized_f1
SR-ARE,782,0.13554987212276215,0.23,0.35634743875278396,optimized_f1
SR-ATAD5,782,0.04475703324808184,0.24,0.22018348623853212,optimized_f1
SR-HSE,782,0.056265984654731455,0.24,0.3008849557522124,optimized_f1
SR-MMP,782,0.14194373401534527,0.28,0.4404332129963899,optimized_f1
SR-p53,782,0.0959079283887468,0.24,0.3127962085308057,optimized_f1
